,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
71,377,VINCENNES, 15h47,1 Jan,36000,2175,16,gauche,15,22,2,Ella Paloma,F,4,deferre_anterieurs_posterieurs,P.Marie,P.Marie,4270,"[7, 7]",[],29,60,8,76.33333333333333
72,378,VINCENNES, 15h47,1 Jan,36000,2175,16,gauche,15,22,3,Etoile De Calix,F,4,False,A.Garandeau,R.ch.Larue,5280,"[8, 3]",[],28,65,False,False
73,379,VINCENNES, 15h47,1 Jan,36000,2175,16,gauche,15,22,4,Etincelle Delo,F,4,deferre_anterieurs_posterieurs,Y.Lebourgeois,A.Rogier,21360,['D'],['D'],8,11,4,75.33333333333333
74,380,VINCENNES, 15h47,1 Jan,36000,2175,16,gauche,15,22,5,Excelle Star,F,4,False,M.Mottier,B.Rouer,24100,"[5, 2]",[],9.4,13,5,75.5
75,381,VINCENNES, 15h47,1 Jan,36000,2175,16,gauche,15,22,6,Elza De Souvigne,F,4,False,Ch.j.Bigeon,F.Provost,24740,[2],[9],21,18,9,76.5
76,382,VINCENNES, 16h19,1 Jan,36000,2175,16,gauche,15,22,7,Etincelle De Ro.,F,4,False,L.Abrivard,E.Varin,25120,"[5, 'D']",[],93,122,6,76.33333333333333
77,383,VINCENNES, 16h19,1 Jan,36000,2175,16,gauche,15,22,8,Etincelante Ohem,F,4,False,Mlle.AudreyLaroc.,St.Meunier,25340,"['D', 5]",[],38,51,7,76.5
78,384,VINCENNES, 16h19,1 Jan,36000,2175,16,gauche,15,22,9,Enola Du Dorat,F,4,False,M.Tijou,ArnaudDesmottes,25550,[1],[5],9.9,8.4,False,74.83333333333333
79,385,VINCENNES, 16h19,1 Jan,36000,2175,16,gauche,15,22,10,Estrella D'alesa,F,4,deferre_anterieurs_posterieurs,A.Abrivard,L.cl.Abrivard,25650,"['D', 'D']",[],7.8,6.5,False,False
80,386,VINCENNES, 16h19,1 Jan,36000,2175,16,gauche,15,22,11,Edene L'auvergn.,F,4,deferre_anterieurs_posterieurs,D.Bonne,F.Leblanc,26750,"[2, 2]",[],4,2.6,False,False
81,387,VINCENNES, 16h19,1 Jan,36000,2175,16,gauche,15,22,12,Evala Des Forets,F,4,False,Mlle.C.Leclercq,MlleC.Leclercq,27420,[5],[9],17,36,1,77.66666666666667
82,388,VINCENNES, 16h19,1 Jan,36000,2175,16,gauche,15,22,False,Easy,False,False,False,False,False,False,False,False,False,False,False,False
83,389,VINCENNES, 16h19,1 Jan,36000,2175,16,gauche,15,22,14,Esmee De Carel,F,4,deferre_anterieurs_posterieurs,P.y.Verva,G.Gillot,29250,[9],['D'],13,30,2,75.33333333333333
84,390,VINCENNES, 16h19,1 Jan,36000,2175,16,gauche,15,22,15,Envoutante Fac,F,4,False,F.Nivard,C.j.DeLeeuw,29440,[],"[9, 0]",28,29,1,82.5
85,391,VINCENNES, 16h19,1 Jan,36000,2175,16,gauche,15,22,16,Eris De Fredlau,F,4,deferre_posterieurs,A.Barrier,P.Danet,30670,"[2, 3]",[],8.2,7.1,3,75.33333333333333
86,405,VINCENNES, 16h19,1 Jan,70000,2175,12,gauche,15,22,1,Balantine Max,F,7,deferre_posterieurs,D.Bonne,D.Bonne,126290,"[3, 1]",[],8,8.7,2,73.5
87,406,VINCENNES, 16h19,1 Jan,70000,2175,12,gauche,15,22,2,Belle Louise Ma.,F,7,deferre_posterieurs,E.Raffin,Y.Dreux,163150,[],"[0, 'D']",4,4,False,73.0
